dataset_name,cim_segment,cim_canonical_field,cim_data_type,description,amadeus_native_field,sita_native_field,inform_native_field,harmonization_notes,pii_class
Baggage,Hold,passengerName,String(<=20),PSM on bag msg,PSM_PASSENGER_NAME,passengerNamePsm,BPM_PSM_NAME,SITA Type B gateway element names vary by parser version,confidential_pii
Baggage,Hold,flightUID,String,Leg join to Airfield,FLIGHT_LEG_OID,flightLegRefUuid,GS_FLIGHT_LEG_KEY,Must align with Airfield.flightUID correlation table,internal
Baggage,Hold,ULDID,String,ULD id,ULD_IDENTIFIER,uldReference,ULD_REF,,none
Baggage,Hold,SOBT,int(10),SOBT for sort context,SCHED_OFF_BLOCK_DTM,scheduledOffBlockTimeUtc,SOBT_UTC,Clock sync between BHS and AODB required,none
Baggage,Hold,FQFC,String,FQFC for sort,derived_FQFC,derived_fullFlightDesignator,derived_FQFC,,none
Baggage,Hold,messageType,String,BSM BPM BUM,MESSAGE_TYPE_ID,typeBMessageType,MSG_TYP_CD,SITA gateway primary path for Type B at many hubs,none
Baggage,Hold,messageAction,String,NEW UPT DEL,MESSAGE_ACTION_CD,typeBAction,MSG_ACT_CD,,none
Baggage,Hold,level,int(1),Screening level,SCREENING_LEVEL_NBR,securityScreeningLevel,SCR_LVL_NBR,Airport tier lookup required,none
Baggage,Hold,decision,String,clear reject,SCREENING_DECISION,securityDecision,SCR_DEC_CD,,none
Baggage,Hold,previousLevel,int(1),Prior level,PREV_SCREENING_LEVEL_NBR,previousScreeningLevel,PREV_SCR_LVL,,none
Baggage,Hold,nextLevel,int(1),Next level,NEXT_SCREENING_LEVEL_NBR,nextScreeningLevel,NEXT_SCR_LVL,,none
GroundOps,Deice,type1.start,int(10),Type I start epoch,N/A,N/A,N/A,Pad vendor systems map separately to CIM GroundOps,internal
GroundOps,Deice,type1.stop,int(10),Type I stop epoch,N/A,N/A,N/A,,internal
GroundOps,Deice,type4.start,int(10),Type IV start epoch,N/A,N/A,N/A,,internal
GroundOps,Deice,type4.stop,int(10),Type IV stop epoch,N/A,N/A,N/A,,internal
GroundOps,Deice,registration,String,Tail,AIRCRAFT_REGISTRATION,aircraftRegistration,AC_REG,Same harmonization as Airfield.registration,none
GroundOps,Deice,FQFC,String,Flight code,FULL_FLIGHT_CODE,derived_fullFlightDesignator,derived_FQFC,,none
GroundOps,Deice,airportId,String,Station,IATA_OR_ICAO_AT_PAD,airportIataOrIcao,ARPT_CD,,none
GroundOps,Deice,padId,String,Deice pad,N/A,N/A,GS_DEICE_PAD_ID,INFORM pad resource id when airport uses GS Ground Ops module for deice,none
GroundOps,Deice,eventType,String,Service type,N/A,N/A,GS_DEICE_SVC_TYP,,none
ParkingEvents,PARCS,eventTime,int(10),Event epoch,TRANSACTION_TIMESTAMP_UTC,N/A,N/A,PARCS vendor neutral fields align to ParkingEvents CIM,internal
ParkingEvents,PARCS,vehicleId,String,Token plate,VEHICLE_TOKEN_ID,N/A,N/A,,internal
ParkingEvents,PARCS,eventType,String,Event kind,EVENT_TYPE_CD,N/A,N/A,,none
ParkingEvents,PARCS,eventOutcome,String,success fail,EVENT_OUTCOME_CD,N/A,N/A,,none
ParkingEvents,PARCS,gateId,String,Device id,GATE_DEVICE_ID,N/A,N/A,,none
ParkingEvents,PARCS,gateLocation,String,Location text,GATE_LOCATION_DESC,N/A,N/A,,none
ParkingEvents,PARCS,gateType,String,Usage type,GATE_USAGE_TYPE,N/A,N/A,,none
ParkingFaults,PARCS,eventTime,int(10),Fault epoch,FAULT_TIMESTAMP_UTC,N/A,N/A,,internal
ParkingFaults,PARCS,eventType,String,Fault type,FAULT_TYPE_CD,N/A,N/A,,none
ParkingFaults,PARCS,eventStatus,int(1),Active flag,FAULT_ACTIVE_IND,N/A,N/A,,none
ParkingFaults,PARCS,gateId,String,Device id,GATE_DEVICE_ID,N/A,N/A,,none
ParkingFaults,PARCS,gateLocation,String,Location,GATE_LOCATION_DESC,N/A,N/A,,none
ParkingFaults,PARCS,gateType,String,Usage type,GATE_USAGE_TYPE,N/A,N/A,,none
